species,atom_index,symbol,old_charge,new_charge,delta,abs_delta
monomer_A,0,H,0.069880870742479,0.08031752727197466,0.010436656529495658,0.010436656529495658
monomer_A,1,C,-0.2621675040479635,-0.2410110997205181,0.02115640432744542,0.02115640432744542
monomer_A,2,C,0.4517053551527929,0.3880133337396718,-0.06369202141312114,0.06369202141312114
monomer_A,3,O,-0.639562342683908,-0.6395471938998353,1.5148784072716026e-05,1.5148784072716026e-05
monomer_A,4,H,0.38304682476116314,0.38304185197266893,-4.972788494206348e-06,4.972788494206348e-06
monomer_A,5,H,0.06988087074247908,0.06269506162863875,-0.007185809113840327,0.007185809113840327
monomer_A,6,H,0.06988087074247917,0.06269506162863875,-0.0071858091138404245,0.0071858091138404245
monomer_A,7,H,-0.07133247270476101,-0.048102271310619706,0.023230201394141302,0.023230201394141302
monomer_A,8,H,-0.0713324727047609,-0.048102271310619706,0.02323020139414119,0.02323020139414119
monomer_B,0,H,0.04658298376765499,0.05237717523614267,0.005794191468487683,0.005794191468487683
monomer_B,1,C,0.006531535964655048,0.0037549990760065797,-0.0027765368886484686,0.0027765368886484686
monomer_B,2,O,-0.2925905212304764,-0.2927072763978041,-0.00011675516732767566,0.00011675516732767566
monomer_B,3,C,0.00642087512013155,0.0037549990760065797,-0.0026658760441249704,0.0026658760441249704
monomer_B,4,H,0.04662971961424155,0.05237717523614267,0.005747455621901126,0.005747455621901126
monomer_B,5,H,0.04658298376765507,0.045110731943376385,-0.0014722518242786878,0.0014722518242786878
monomer_B,6,H,0.04658298376765504,0.045110731943376385,-0.001472251824278653,0.001472251824278653
monomer_B,7,H,0.04662971961424157,0.045110731943376385,-0.0015189876708651823,0.0015189876708651823
monomer_B,8,H,0.04662971961424157,0.045110731943376385,-0.0015189876708651823,0.0015189876708651823
PAA,0,H,0.03648617360733453,0.023483119847777623,-0.013003053759556904,0.013003053759556904
PAA,1,C,-0.3371797694393725,-0.2670448308269462,0.07013493861242631,0.07013493861242631
PAA,2,C,0.7174149725290333,0.7082343881579584,-0.00918058437107494,0.00918058437107494
PAA,3,C,0.5316353444302173,0.5379461566251242,0.006310812194906923,0.006310812194906923
PAA,4,O,-0.749527871111765,-0.7689730783125623,-0.019445207200797343,0.019445207200797343
PAA,5,O,-0.7821074733184528,-0.7689730783125623,0.01313439500589042,0.01313439500589042
PAA,6,H,-0.21780650873631952,-0.22500228225950986,-0.007195773523190341,0.007195773523190341
PAA,7,H,0.009434458487198594,-0.0076238132239056415,-0.017058271711104234,0.017058271711104234
PAA,8,H,0.009434458487198472,-0.0076238132239056415,-0.017058271711104113,0.017058271711104113
PAA,9,H,-0.21778378493507267,-0.22442276847146847,-0.006638983536395804,0.006638983536395804
PAAH,0,H,0.056100815242056776,0.05702264364499457,0.0009218284029377938,0.0009218284029377938
PAAH,1,C,-0.1872386492158549,-0.18422445138407356,0.0030141978317813345,0.0030141978317813345
PAAH,2,C,0.09891441682775869,0.08887561195985695,-0.010038804867901735,0.010038804867901735
PAAH,3,C,0.5860006813710315,0.5860000437943881,-6.375766433697194e-07,6.375766433697194e-07
PAAH,4,O,-0.5379991590155422,-0.5380043786755506,-5.219660008437543e-06,5.219660008437543e-06
PAAH,5,O,-0.5699300233791749,-0.5699113532300828,1.867014909207043e-05,1.867014909207043e-05
PAAH,6,H,0.009456119641681249,0.021257568588760434,0.011801448947079185,0.011801448947079185
PAAH,7,H,0.056100815242056734,0.055256832731915576,-0.0008439825101411585,0.0008439825101411585
PAAH,8,H,0.056100815242056686,0.055256832731915576,-0.00084398251014111,0.00084398251014111
PAAH,9,H,0.009456119641681342,0.0054403491197592135,-0.004015770521922129,0.004015770521922129
PAAH,10,H,0.4230380484022489,0.4230303007181165,-7.747684132419774e-06,7.747684132419774e-06
PVDF,0,H,0.13881312486518826,0.15779589705677824,0.018982772191589975,0.018982772191589975
PVDF,1,C,-0.4545711832240831,-0.4529163031749208,0.001654880049162255,0.001654880049162255
PVDF,2,C,0.5145296560324428,0.5146003623175405,7.070628509764365e-05,7.070628509764365e-05
PVDF,3,F,-0.2508605115218519,-0.25097357965039047,-0.00011306812853856263,0.00011306812853856263
PVDF,4,F,-0.2510554294328187,-0.25097357965039047,8.184978242825602e-05,8.184978242825602e-05
PVDF,5,H,0.025518093550746024,0.02551650535274777,-1.5881979982534933e-06,1.5881979982534933e-06
PVDF,6,H,0.13881312486518832,0.12847534887431766,-0.010337775990870657,0.010337775990870657
PVDF,7,H,0.13881312486518835,0.12847534887431766,-0.010337775990870685,0.010337775990870685
PAN,0,H,0.0654478422741954,0.05530084292559871,-0.010146999348596683,0.010146999348596683
PAN,1,C,-0.19116202707979113,-0.18695477011918957,0.004207256960601563,0.004207256960601563
PAN,2,C,0.13384410252450962,0.10602849732511377,-0.027815605199395854,0.027815605199395854
PAN,3,C,0.24965557843221833,0.2497169999155546,6.142148333626585e-05,6.142148333626585e-05
PAN,4,N,-0.4453754817226433,-0.4453840915790622,-8.60985641892853e-06,8.60985641892853e-06
PAN,5,H,0.028347150511560185,0.039350590894290244,0.01100344038273006,0.01100344038273006
PAN,6,H,0.0654478422741954,0.07127376765549236,0.005825925381296962,0.005825925381296962
PAN,7,H,0.0654478422741954,0.07127376765549236,0.005825925381296962,0.005825925381296962
PAN,8,H,0.02834715051156014,0.03939439532670979,0.01104724481514965,0.01104724481514965
PTMC,0,H,0.40517706575391726,0.40516324752673566,-1.3818227181605636e-05,1.3818227181605636e-05
PTMC,1,O,-0.6523457996189415,-0.6523509148978133,-5.11527887181451e-06,5.11527887181451e-06
PTMC,2,C,0.3242967219875847,0.328214223803033,0.00391750181544831,0.00391750181544831
PTMC,3,C,-0.2032124524505523,-0.1783432604193974,0.024869192031154896,0.024869192031154896
PTMC,4,C,0.6540189004613619,0.6540271354935128,8.235032150860633e-06,8.235032150860633e-06
PTMC,5,O,-0.5365975693377086,-0.5366392930460682,-4.172370835953121e-05,4.172370835953121e-05
PTMC,6,O,-0.6145296100571143,-0.6144715433556817,5.806670143260195e-05,5.806670143260195e-05
PTMC,7,H,0.43670541113338796,0.4366965778563249,-8.833277063080569e-06,8.833277063080569e-06
PTMC,8,H,0.014240663013360466,0.009792253260245853,-0.004448409753114613,0.004448409753114613
PTMC,9,H,0.014240663013360355,0.009792253260245853,-0.004448409753114502,0.004448409753114502
PTMC,10,H,0.0790030030506721,0.06905966025943133,-0.009943342791240761,0.009943342791240761
PTMC,11,H,0.07900300305067182,0.06905966025943133,-0.009943342791240484,0.009943342791240484
PCL,0,H,0.38770399312743875,0.38768193548559915,-2.205764183960124e-05,2.205764183960124e-05
PCL,1,O,-0.6344022880259199,-0.6343782675995622,2.4020426357740376e-05,2.4020426357740376e-05
PCL,2,C,0.2916007953261051,0.29305876878897874,0.0014579734628736296,0.0014579734628736296
PCL,3,C,-0.053935001785849895,-0.07818227061420319,-0.02424726882835329,0.02424726882835329
PCL,4,C,0.03804306375398833,0.04870759335313718,0.010664529599148848,0.010664529599148848
PCL,5,C,-0.02651495266554363,-0.03506399051395464,-0.00854903784841101,0.00854903784841101
PCL,6,C,0.4218213075066177,0.4218422724537215,2.0964947103796483e-05,2.0964947103796483e-05
PCL,7,O,-0.45045360950875263,-0.4504663422045072,-1.2732695754580359e-05,1.2732695754580359e-05
PCL,8,H,-0.01822148775000143,-0.0182209661160046,5.216339968305839e-07,5.216339968305839e-07
PCL,9,H,-0.0029052712423458804,-0.0016473320062442218,0.0012579392361016586,0.0012579392361016586
PCL,10,H,-0.0029052712423458804,-0.0016473320062442218,0.0012579392361016586,0.0012579392361016586
PCL,11,H,0.013165974319498841,0.02001808740117516,0.0068521130816763184,0.0068521130816763184
PCL,12,H,0.013165974319498851,0.02001808740117516,0.006852113081676308,0.006852113081676308
PCL,13,H,-0.01294850903227001,-0.013391915423926443,-0.00044340639165643334,0.00044340639165643334
PCL,14,H,-0.012948509032270072,-0.013391915423926443,-0.0004434063916563709,0.0004434063916563709
PCL,15,H,0.024866895966075997,0.027531793512393085,0.002664897546317088,0.002664897546317088
PCL,16,H,0.024866895966075858,0.027531793512393085,0.002664897546317227,0.002664897546317227
PVAc,0,H,0.07842582103300004,0.09726316926676704,0.018837348233766996,0.018837348233766996
PVAc,1,C,-0.29115189550931975,-0.29233209358144907,-0.0011801980721293237,0.0011801980721293237
PVAc,2,C,0.3846115457932757,0.32638788977773336,-0.05822365601554236,0.05822365601554236
PVAc,3,O,-0.46535371841186196,-0.46535625711991985,-2.538708057886474e-06,2.538708057886474e-06
PVAc,4,C,0.7928226585806608,0.7928515487199381,2.889013927731554e-05,2.889013927731554e-05
PVAc,5,O,-0.5393706015505166,-0.539404684607946,-3.408305742935713e-05,3.408305742935713e-05
PVAc,6,C,-0.5541313446663386,-0.556647727046614,-0.002516382380275406,0.002516382380275406
PVAc,7,H,-0.016648926059838698,0.012384087931135157,0.029033013990973855,0.029033013990973855
