species,smiles,atom_count,formal_charge,old_net_charge,new_net_charge,old_resp_profile,new_resp_profile,max_abs_delta,mean_abs_delta,rms_delta,equivalence_ok,max_equivalence_spread,max_carboxylate_oxygen_spread,new_resp_variant_id
monomer_A,*CCO*,9,0,-1.1102230246251565e-16,9.71445146547012e-17,legacy,adaptive,0.06369202141312114,0.0173485805398436,0.0253766018834293,True,0.0,0.0,8edcbd906c67
monomer_B,*COC*,9,0,-1.3877787807814457e-17,-1.3877787807814457e-17,legacy,adaptive,0.005794191468487683,0.0025648104645308476,0.0031690391604053845,True,0.0,0.0,b8fe72246b88
PAA,*CC(C(=O)[O-])*,10,-1,-1.0000000000000002,-1.0000000000000004,adaptive,adaptive,0.07013493861242631,0.017916029162644734,0.025378241552523967,True,0.0,0.0,2862381833f8
PAAH,*CC(C(=O)O)*,11,0,-1.6653345369377348e-16,-5.551115123125783e-17,legacy,adaptive,0.011801448947079185,0.002864753696525522,0.0049317009668610485,True,0.0,0.0,1b76e622d2af
PVDF,*CC(F)(F)*,8,0,8.326672684688674e-17,0.0,legacy,adaptive,0.018982772191589975,0.005197552077069536,0.008491525029547557,True,0.0,0.0,4c8186b505aa
PAN,*CC(C#N)*,9,0,2.42861286636753e-17,2.0816681711721685e-17,legacy,adaptive,0.027815605199395854,0.00843804764542477,0.011572834463177011,True,0.0,0.0,01017ad76e4e
PTMC,*OCCC(=O)O*,12,0,-1.1102230246251565e-16,1.1102230246251565e-16,legacy,adaptive,0.024869192031154896,0.004808832596697755,0.0085202985017624,True,0.0,0.0,1f816824792c
PCL,*OCCCCC(=O)*,17,0,1.5265566588595902e-16,-6.938893903907228e-17,legacy,adaptive,0.02424726882835329,0.003966812917373082,0.007229595804067855,True,0.0,0.0,51f114c2747a
PVAc,*CC(OC(=O)C)*,14,0,0.0,1.6653345369377348e-16,legacy,adaptive,0.05822365601554236,0.009978659790252278,0.018774017856581938,True,0.0,0.0,9f46c6429f27
PMMA,*CC(C)(C(=O)OC)*,17,0,-2.220446049250313e-16,2.498001805406602e-16,legacy,adaptive,0.04975749092481965,0.008235674839828011,0.014536904577516961,True,0.0,0.0,45c6f9554992
PS,*CC(c1ccccc1)*,18,0,1.942890293094024e-16,-5.551115123125783e-17,legacy,adaptive,0.013646271983647873,0.002195812092429626,0.003951733556623816,True,0.0,0.0,d20712034802
